bottleneck;wąskie gardło
browser;przeglądarka
chunk;znaczna część
circuit failure;uszkodzenie obwodu
data encapsulation;obudowywanie danych
destination;miejsce docelowe
entry;wpis
factor;czynnik
hit list;lista wyników wyszukiwania
indexed search;wyszukiwanie indeksowe
keyword;słowo kluczowe
occurence;wystąpienie
outside link;link zewnętrzny
parsing;analiza składniowa
priority queue;kolejka priorytetowa
relevant;istotny/trafny
snippet;fragment
stack;stos
to fetch;pobierać
to garble;zniekształcać
to jitter;drgać/drżeć
to rate;klasyfikować/oceniać
to retrieve;pobierać/odnaleźć
token passing;przekazywanie znacznika
wire;przewód
