burst node;wêze³ wyjœciowy
chance node;wêze³ losowy
class label;etykieta klasly
class membership;przynale¿noœæ do klasy
data mining;eksploracja danych
decision node;wêze³ decyzyjny
end node;wêze³ koñcowy
explanatory variable;zmienna objaœniaj¹ca
fault-tolerant;odporny na b³êdy
leaf node;liœæ/wêze³ liœcia
outlier;wartoœæ skrajna
network pruning;przycinanie sieci
sink node;wêze³ zbiorczy
spurious pattern;fa³szywy wzorzec
variable;zmienna
differential analysis;analiza ró¿nicowa
itemset;zbiór produktów
residual;reszta
pattern identification;identyfikacja wzorca
quantitative modelling;modelowanie iloœciowe
